ulasan,label
"The local files function is completely broken since I updated. Some tracks are completely gone, others are gone from playlists but show up under ""local files"" but with all the spaces removed from the titles, some have duplicates but with different titles. For years the local files function worked great for me, but for the last year or two it has just gotten worse and worse, lately it barely works at all. It's incredibly disappointing.",1
"I love this app, I really do, as I've been using it for years...but lately the app isn't working like it used to. It will not let me add anymore songs, (I have less than 2000 and there's supposed to be unlimited), to any playlist. Everyday I have to search for songs and podcasts I tried saving to a list. I pay for premium and I can't even listen to downloaded music offline which is a feature of premium service. It won't even download. Please fix these issues, because reinstalling doesn't help.",2
"I wish I could give it a 5 but the longer you use the app the more often it feels like adds play if you don't have premium. It's a bit frustrating not being able to listen to a singular song, but I do like that it gives a playlist based on the song. I usually don't like the songs it shows, but every now and then I'll hear a good one. The app also glitches now and then, not playing or just not showing up on the lock screen. Premium is totally worth it though, cost and all. 6/5 with premium.",4
"Spotify is a great app. I have been a premium user for several years now and have had a great overall experience. With the notable exception of the last month. The app has been consistently breaking, not connecting to the internet. As a premium user, I think, ""Well, that's okay, I download all my music for a reason."" But that doesn't even remotely matter when the app is still CONSTANTLY loading, even in offline mode, as if it were trying to connect to the weakest of weak signals. Fix this.",2
"Listening to the specific song you want to listen to is virtually impossible without premium. You'll click one song, and another will pop up as a ""recommended song"". When I click on a song, I want to listen to that song, not something like it! The app is basically useless for anyone trying to listen to songs their friends sent. Looking up the songs on YouTube will have better results.",2
"I enjoy this app. I use Spotify on my phone and laptop. Recently, the app on my phone has decided to switch songs around. It usually is the first song and some other song, usually in the middle of the playlist. I cannot move songs around on my phone and the app on the computer shows that everything is in its place. It sucks that I cannot listen, for example, the entirety of the LOTR songs in order because the prologue is in the middle. I hope it gets fixed soon.",3
"Good when it let's you listen to the music you choose. It's sticky sometimes, I would have to close and reopen the app just to play my song, and after it plays the songs on your playlist it makes you listen to ""suggested songs"" for at least a week (if you want to listen to the playlist). I'm sorry but there should be a separate feature for suggested songs because if I'm on my day to day commute I want to listen to the music I picked. Most of the time it doesn't give me trouble though.",3
"As much as I have loved this app for the past 6+ years, there have been some glaring issues within the app that have not been fixed for way too long. Smart Shuffle is one of them for me. While it is an objectively better version of Enhancing your playlists because it adds songs that are actually related to your playlist, the shuffle part of Smart Shuffle does not work at all. Every time I Smart Shuffle my playlist, it plays the same songs in the same order, without fail. I hope this get's fixed.",3
"I have been a premium user for a while. The video podcasts either do not show the ""play video"" option, or the video does not play. Everytime I open Spotify, I have to close and open it again because it hangs, especially after a call, when it doesn't continue the playlist. I have to omit a song or artist from one playlist at a time instead of throughout the app. Also can't omit albums or playlists from my taste entirely, just one song at a time in a playlist.",2
"It feels like every update makes the app worse. The added random tiktok version song button on the album is completely useless to me (who would use this when they're already on the album instead of just playing a song.) So I would just ignore this button, but every time you go on a album the button animates which is really annoying when you're never going to use it. I just hope they give you the option to disable the button, or at least the animation.",1
"I think the app needs an update. It takes a couple minutes to launch, even in offline mode. I'm experiencing some really bad lag. Update: Now the app won't launch at all. This is a little frustrating because I can't listen to any music or podcasts until these crashes are fixed. Newest update: Uninstalling and reinstalling seemed to work. Still seems like a patch is needed though.",4
"With the issues Spotify has, it's beginning to feel too expensive. I download all the albums I like and usually keep it in offline mode. If I power off my phone, while Spotify is in offline mode, it says ""There was a problem"" or something like that, and I cannot get back into Spotify without reinstalling. As a result I have to redownload all the albums again which is very annoying. Offline mode needs some attention, it goofs up often and I need to download everything again.",3
"Great if you have Premium. After no longer being able to afford it, you really see the bugs. Especially if using another device to play from. Ads constantly ""play"" but takes you pausing it and replaying the ad for it to go through the other devices (both are updated) sometimes 2 to 3 times. The normal 2 ads have multiple to 4-5 sometimes because of this. I shouldn't have to pause my ads to replay them for this app to continue playing music.",2
"I can't remember a time when this app didn't have at least one issue. Incredibly unreliable. Each update fixes something but breaks something else. Currently, I can't open the app without it crashing. Even going to my settings to force stop the app doesn't fix it. I hate that spotify has better music quality and a more intuitive layout than YouTube music. If only the rest of the app could FUNCTION. Spotify, you literally have one job. A music app that works. FIX THIS!",1
"You pretty much have to pay for everything, just for it to work right. You cannot play the song you press on without paying, you cant skip more than 6 songs and hour without paying, and overall, it doesn't work without paying for everything even though it's a free app. I'd definitely recommend something else to use to listen to music. Edit: Oh, and I only get 4 song skips when it says 6. And ads STILL will keep playing after it says I get 30 minutes of free ads.",2
"App has reached a point where the removal or redesign of features that haven't caused any issues have plagued the app. You can't simply like a song anymore without opening a window with all of your playlists and you can't tell you don't have a song liked if it's in one of your playlists (the checkmark icon). You can't add or remove playlists to your profile without making them private? No clue why a lot of the changes that have been made to this app were approved, please fix it.",3
I really enjoy everything that is offered within the service and app. However I'm having problems with the app not responding at random times of the day. I usually have to restart my phone every morning and again later in the day if I have to pause something and come back later. Force closing or stopping the app does not work. It requires a phone restart. Any progress on this bug/ fix? Google Pixel 8 Pro.,3
"I want to like this app but it will not work. Playback is continuously stopping, usually after an advertisement, sometimes after a song. The counter continues to go up as if the song or advertisement are still playing but the only way to get the music to start again is to completely close and re open the app. And then I have to start the Playlist all over. Infuriating. Tried reinstalling- doesn't work. Customer service is no help.",2
"Attempting to listen to an album is an exercise in frustration on a free account. The track list is set to shuffle with no way to disable, ""suggested"" songs are inserted after every three tracks, and ads are just as frequent despite an alert popping up advising that the next 30 minutes will be ad-free. It's good app if you want to be fed a stream of music like Pandora does, but unless you're paying, there's no way to truly curate your own listening experience.",1
"Spotify has been ridiculous since the recent updates. It seems way too concerned with forcing an algorithm and playing music you don't like. Every time I open the app it starts playing a random track from a random artist that, often, I've never heard of. No setting to disable that. Also, ""smart shuffle"" is a really dumb idea and despite an overwhelmingly negative reception of this feature, there is no setting to permanently disable. The app is also just seeming very bugged and glitchy lately.",1
"I'm editing my review because a couple reinstalls did fix offline mode, but navigation has become difficult in this app in general, and it's very difficult to add the same song more than once to a playlist. My playlists randomly unsort themselves. The algorithm kinda keeps me trapped in the same groups of music and makes it hard to search for new music, I wish it could switch off. Enhance shuffle will also randomly turn on after turning it off. I like discover weekly because it's not intrusive.",3
"EDIT: Uninstall/Reinstall fixed the issue. But, as mentioned, this is a recurring issue. ORIGINAL REVIEW: Been having trouble playing certain podcasts sporadically the last 6 months or so. App is up-to-date. Tried closing and reopening app. I've contacted Spotify support in the past via chat and they say log out/in, reinstall, etc. It's kind of ridiculous this happens again and again. I don't get it...",3
"Editing on 1/28/24. I don't know what happened, but my playlists are getting messed up. I have the set up in a specific manner, and the first song is bumped down somewhere else into my playlist and replaced by a completely different song in the playlist. This isn't happening on my desktop version, and it's getting rather annoying trying to fix this issue.",2
"Good music and podcast selection, BUT. The devices override each other and this Is a major problem. You can not stream from one spotify account on 2 separate devices simultaneously. (For instance if I'm driving in my car and using my phone and a family member at home uses a home device). Additionally, once the secondary device is activated, it overrides the phone even if spotify is not in use!! This is a major issue that should be fixed.",2
"The ads for the free version have become ridiculous. They are literally everywhere. You change your music selection? Ad. Scrolling through the playlists for music? Ad. Not to mention there are literally ads at the bottom of the screen when you're looking at what song you're listening to. Sometimes you get ads not even 30 minutes into your music session. Plus, the cost for premium has gone up; and it's not like they added any new features.",1
"I'm in love this app and have used it for multiple years, but lately I've been having issues with it: - The first songs of a playlist randomly changing place and replacing each other, without me even trying to do so, and if I attempt to fix this, it'll ignore any changes I do. - No longer having the ability to list playlists on my profile; the button for it disappeared completely and I have no way to do this unless I go on desktop, which is rather inconvenient. Please fix these bugs asap 🙏",4
"In one of the playlists that I made and use everyday, all of a sudden it's adding one of the songs from the middle of the playlist and putting it at the top of the list. However on my laptop everything is fine, but on my phone app there's this weird glitch. I tried clearing cache and restarting the app but still no resolution. When I try dragging the song back to the middle where it belongs, it just messes up the order of the other songs.",1
"The addition of smart shuffle has been awful. Switching between shuffle on and off has become buggy, requiring repeated turning off and on for it to stay off when switching between songs. When you want to stop shuffling at one song so you can go to the next in the playlist, it resets to the first song in the playlist, rather than where you were at. It's unintuitive, annoying, and buggy. This feature alone makes me want to switch entirely to SoundCloud.",2
I loved Spotify at first. But it started irritating me where the premium adds started to come. 1. I can't move the song forward or Backward. 2. I can't play songs on order in my playlist. 3. I can't even sometimes see the lyrics of the song. 4. You get adds twice a song. All over to say.. I should have given this app a 1star. But I still don't hate it. I know they do it cuz they want money. But you can't take our choice of songs. Pls lower the disadvantages of non - premium.,3
"Experiencing a number of issues the past few weeks. Curated playlists in specific track orders are now jumbled and if edited are altered again on saving. Since yesterday, playlists and albums are no longer playing in correct order. For example, played Led Zeppelin II, first track, but then jumped to a 2010s dance track. Service is almost unusable for the purpose I use it. No tracks are queued and have attempted all recommended fixes including reinstall, but still no improvement.",2
"Great app overall. Needs a few improvements..sometimes when playing music, I'll open another app and Spotify stops. Usually this happens once a day and that's it. Like open Waze or Google Maps I really notice it. Second, the lyrics page on app and desktop chooses a color from album art. Spotify serves up red as the background color often and it's blindingly bad, even worse on the desktop. I prefer just setting my own background color and be done with it.",4
Every time I try to turn off smart shuffle and I have something in queue it skips forward. Please just let it be an option in settings to turn it off completely. Also I'd like if the DJ didn't have sets completely unrelated to my music taste. There's been some crashes and audio problems too lately. My music will often change volumes a couple times. Other than this I love Spotify and recommend it highly.,1
"I did a bit of research and after 2 or 3 songs, 4 to 6 ads will play. ranging each about 30 seconds, there is an equal amount of ad to video. I think I'd rather just download every song and play it myself, because I'll still save copious amounts of time hearing about stuff I don't care about whatsoever. the premium plans are despicable, and the ads on the homepage while navigating to where you want to be are unbearable too. just put the extra effort in and grab some playlists to download.",1
Like the app. Love the fact that it has a sleep timer so that I can listen to a podcast and then have it turn off while I'm asleep. Wish you could just block explicit songs and NOT podcasts like you can with Amazon music... Would prefer not too have to keep toggling the button each time I want to switch between podcasts and music like I can with Amazon Music. Will be using that while I've got Prime. Developer did not read review properly.,3
"I would love to give a higher rating, but I seemingly have to uninstall and reinstall every month because of a random glitch for the past few months. This time it was that my podcast (JRE) stopped in the middle of an episode and when I went to hit play there was only ONE episode visible? Any other listener knows that's far from correct. Last month I'd hit play and it would just be ""loading"" eternally. Before that, it kept just randomly stopping without any prompt to do so. Always something.",3
"I love Spotify, but this new update makes the app almost unusable. Now, after this new update, I can't just go into my Playlists and pick any song. I have to listen to the whole playlist to get to one song. And, you guys started adding songs to my playlists that I dont even like. Also, now I can't skip to a certain spot in a song. It's ridiculous and frustrating. Please change that. I'll update my review after you guys fix that. If not, I'll just switch back to YouTube music or pandora.",1
"The only monthly subscription I have that I absolutely cannot live without. I will forever be a loyal listener. ***EDIT*** Only works roughly half the time on Android. Can rarely open Spotify links sent by others, Smart Shuffle turns on automatically even after I turn it off. Seems to work fine on Apple and PC. Seems Spotify isn't concerned with their Android users. For the first time ever, I'm seriously considering another music streaming service.",2
Its an okay app. I use it for my music all the time there is only one problem with it. When ever I've been listening to music and stuff and I'll pause my playlist close the app or even if i just pause it after a while or maybe the next time I'm wanting to listen to music it goes back to whatever song i listened to first the last time and continues to play the same songs. I genuinely haven't been able to listen to the rest of my playlists in ages and its so irritating.,2
"App has become unstable af. Barely loads half the time, it's just music ffs. And it's become so bloated with all of the extra stuff, podcasts, audiobooks etc. With no options to turn that media off. No customization of your home screen, it's all what they want you to see. It's impossible to find what you want easily. The shuffle is fake, you'll hear the same 20 songs from your playlist of 10000. The app from 5 years ago was miles better than what it is now.",2
"Congrats!! Thanks to the option of atleast giving 1 star or u would prefer giving 0. I mean ads and all are fine but what's the case with can't play songs on loop, can't go back to a song, can't choose shuffle in the correct order, can't navigate through the songs. And above all...I can't even skip more than 6 songs per hour. Spotify mixes two polar genres and now I can't even skip. Amazing!!",1
"Whatever this latest update did, the app runs like garbage. Downloading tracks for offline has been and is now even more of a crapshoot. The main page takes *at least* 2 minutes to load. The main page, every album, and every artist page has a 50/50 chance of crashing the app, online or offline. The app says I'm offline even just after having the app open on wifi. This app has been degrading recently, and nothing has changed on my side. 🤷‍♂️",1
"Premium user here! Lately I've been having a problem logging in on my other device. It keeps telling me that I don't have any internet connection although I have. I've tried every fix that I found on google but nothing worked. I even tried installing older versions of spotify but no luck. And this bug seems to go on for years for other users. It would suck to discover one day that I can't access my account at all, not even to cancel my subscription. Then this would turn into a legal matter.",2
"I've been using spotify for over 10 years now. I'm officially at the end of my rope.The app continually gets worse. If you use the app in offline mode, it usually doesn't work. It freezes up and crashes. Even online, it crashes pretty regularly. When they added the ability to sort music by genre, it worked for the most part. Now, somehow, Sade is in the same genre as Neil Francis. Tell me how works. It makes it impossible to sort and find a lot of music. Can't wait to listen to Neil Young again",1
"It has many music and playlists dedicated to your search. however, after only one song it plays about 3 or 6 ads (without premium) and it gets very frustrating. It makes the app unenjoyable if you don't pay. It adds random songs to your playlists even if you didn't add them as well. And I've heard many stories how people still have problems even with premium. Getting a different music app is probably better if you want a good listening experience.",2
"I'm about done with spotify. I understand that if I don't buy the premium membership I have to listen to commercials. They are a business and need revenue to operate. But after two or three songs I get 3-4 long commercials I can't skip after getting the basic info, I can't help but think why not go back to my radio or other apps. Spotify is not worth it if you don't get premium. I'll go back to other apps and my radio. But I will say, podcast side I'm good with, just not the music side.",2
"I loved spotify. It was the best thing ever for me. I could make Playlists, shuffle for a while, a d the. They decided to update it and everything turned into a worse version of IHeart radio. If I look up a song, I can no longer play the song I want, I have to listen to a station of the song. I can't get rid of the added songs on my Playlist anymore, which irritates me bc my Playlist are for very specific moods or characters. It used to be a good app. The best even. But they ruined it.",2
"When Spotify actually works it's fantastic. But every time I go on Spotify I've got to wait 5 - 10 mins for it to work because it says I either don't have a WiFi connection or "" Spotify is currently set to offline"". And if you have to uninstall then reinstall the app, you'll lose everything you've downloaded and if you're anything like me and download like 80GB of music, then you know how long that takes to redo. If I continue to have problems with this app, I'll just cancel my subscription.",3
"I have turned off autoplay, car play, I have turned off every setting that might autoplay anything. And yet, everytime I open the app with it connected to Bluetooth, it starts playing something, sometimes not even anything I would ever listen to. So frustrating. When I switch between headphones to car stereo, it will sometimes go back to playing the last thing I was playing in the car. Even if I close the app, connecting to any Bluetooth device will make the app turn on and autoplay.",1
"Yk this used to be such a good app? I've been using it since 2018, and it isn't intil recently that i started having isues with it. One, the add to music ratio is insane. I listen to TWO songs and then get a whole minute of adds. And on top of that, it doesn't even play from albums anymore. I click on an album i want to listen to and it decides to play some random song. I'm going to switch to Soundcloud permanently if this keeps up.",1
"The single star is for a solid library of music choice, including an incredible selection of video game music. This app lacks basic features it's astonishing it's an industry leader. No voice search? When my wife searches a song and plays it, it plays that song only on repeat. When I search it, it starts a Playlist of similar music. Why is it inconsistent? It sometimes sees my galaxy fold as a tablet and won't allow car mode, other times it's fine. Did I mention NO VOICE SEARCH?! Ridiculous.",2
"3rd Feb: Very pleased to report that the issue below was responded to and remedied. Playlist function now behaves as expected. ------ Playlist function is screwed. When I add a new track and reorder it's position, a random song from the middle of the list moves by itself to first in the list. A pain in the backside when the playlist is intended to be chronological. What the hell are the developers playing at?",4
"Pretty cool. I am very pleased with the recommendations that Spotify offers. Thanks to that, I've discovered many amazing songs and podcasts. The only downside is the lack of ""stats,"" meaning you are not able to check your top song, genres, etc. (Besides Wrapped). Just a side note: after the last update, songs in my playlists randomly change places with others. It's really frustrating. I hope the devs can fix it soon.",4
"I dont want to notice updates to this app, just play my music! Smart shuffle is so annoying, I have to click the button five or six times to turn normal shuffle on and off with all the lag from removing and adding the smart recommendations, and Ive not used it once. Constantly changing the system for liked songs is also irritating, it was fine 6,7 years ago, leave it alone! Better algorithmic suggestions are awesome but make new places for them, dont mess up tried and true systems.",3
"When it works, it's great. But it constantly disconnects when playing over Bluetooth, or just won't open at all. Sometimes, it does this fun thing where it decides it's going to skip over what I'm listening to and just start playing something random, and it won't let me go back to what I was originally playing. I have to restart my phone just to get it to work again. So great, especially when I'm driving!",2
"Spotify has never been perfect, but recently it seems to have amassed a load of bugs. One that had been driving me crazy is car mode. Whenever my phone connects to my car, shuffle turns off and it only plays one artist's music. It's also clear certain artists are prioritised in shuffle. I added 1 song of a mainstream artist to my biggest Playlist and now every time I listen to Spotify, boom, that songs ready to play. Making for a really bad experience for what seems so simple",1
"The ""Spotify Connect"" has been the bane of my existence. Please remove it or allow the feature to be turned off. This feature"" is more of a hindrance and intrusive than any app I've seen to date. This feature automatically turns on Spotify whenever I turn off Netflix or Youtube or when I take my headphones off my ear (my when my headset comes off). I listen to videos a lot with my headphones across multiple apps and when spotify starts playing I get enraged. Close to deleting.",1
"Great app. I have premium but when I didn't I found the ads to be very annoying. I don't know if this is a new update but my playlists would malfunction and remove songs or mix up the songs in different orders then I put them in. It would put random songs at the top and put the top song somewhere else or remove it completely from the playlist. The glitch/update is very confusing for when I am trying to edit my playlists, but other then that the quality is good, it is easy to use and simple.",2
"I've been a Spotify premium subscriber for over 6 years, and I love the service, but the user interface has gotten so bad over the years that I'm thinking of switching to Amazon music. You can't find anything, ever, it is so congested with content with no order whatsoever. You can never find Discover Weekly or queue up a playlist, and now they changed the method for liking songs. They overcomplicated it when it could be simple, seamless, and minimal. What are you guys doing over there, Spotify?",2
"I'm not really sure what's going on, but several times per month, the app will not play on any of my devices. I have several Alexa speakers (Studio, Echo, Show) and a Denon home theatre system. My Wi-Fi will be working great, I will have restarted my phone, updated and restarted all apps, rebooted my Deco mesh system, but still, the device list will be empty except for a random Firestick from somewhere in the house. Why??? Then magically in a few hours, they all come back.",2
"I was always a Spotify fan and still kinda am if it would load! When it does load I'm lucky if I can get a couple songs in before it crashes. If the stability of the app was fixed id give it a 5. I like the new layout. With the info about artists, the scrolling lyrics and stuff. I had an older version for years and it never crashed. Even though I like the new stuff I'd gladly go back to the old version because it's all about the music!!!",3
"It was AMAZING untill the new update. It adds songs to my playlist that i dont even want, plus it doesn't allow me to switch songs throughout my playlist, what a downgrade. I would heavily appreciate if y'all could bring back old spotify. Many individuals, including me, have complained and even stopped using the app due to this update. I would also appreciate for there to be hour long loops. i have Aspergers and ADHD, and sometimes to help deal with stress i like to listen to music for hours.",1
"Ok, so first of all. I love Spotify. The music performance is great! I like how you can choose how many seconds are in the sing fade. But, Ofc it has it's problems. When i check my playlists, it automatically takes the first song and puts in the middle. I also don't know if it's my phone or my Spotify, bc the short videos with the songs don't play anymore. I just stays frozen. It happened after Taylor Swift was #1 and the dot on the playing bar was glowing.",4
"As stated in a previous review, I hate that it auto connects to Bluetooth. I have small children and connect to speakers to play music for them. I am getting rid of premium and deleting the app until this can be fixed. I looked online and this has been a problem for at least 5 years. Unacceptable in my opinion. I turned off all permissions and the background data and it still plays. Probably will never get this service again.",1
"I understand this app yet I don't. Even though I had downloaded a bunch of songs, whenever I open up playlists full of my downloaded songs it still shows me the loading screen which would stay for about 3 mins and ""Try again"" would pop up after. It's frustrating especially when I'm someone who would play music the whole day and this has been what I'm doing for the past year. Please fix it.",1
"Recently hopped onto Spotify, mainly I'm a PC user, and gotta say, it's pretty perfect there. Trying out the mobile version, and it's not bad either. However, encountered a issue/problem with my liked songs – they play random parts, seriously frustrating. Can't enjoy what I've liked, and that's a bit of a downer. Never had this issue on SoundCloud, where I spent many days. Hoping the Spotify team can sort this out in the next update. Thanks for addressing these concerns!",1
Was great until about a week ago. Playlists I worked so hard on now have songs added that I didn't add. And I can't edit some playlists either. It's very frustrating when you look for answers and they don't help the issue. I don't understand why random songs are added to my created playlist that I don't want in that order. This is my last month as a subscription member. This is insane,1
"Been using the app for years, but recently my biggest problem has been this: I have a playlist that has over 200 songs in it and for some reason, it now only plays like 50 of those songs over and over and no matter how many times I skip the song it plays it again like 5 minutes later! Yes I like the song but there's loads of other songs in the playlist that I really wanna hear too! I hope someone will understand what I'm trying to say. Hopefully this will be fixed soon...",3
"This app keeps crashing in me since a few days. I haven't been able to open it for a few days and it looks like I'll have to try and reinstall and lose all my downloaded. Really annoying. And even before that, listening to downloaded music when I've got no reception is a pita with excruciatingly long wait times until the app remembers that there is something downloaded, actually.",1
"Bug: one song every play session does not keeps playing without sound. Sound returns for the next track, or if I rewind the current one to the beginning. Have cleared storage, cache and reinstalled to no avail. Library management is better but nowhere near good enough to let me enjoy millions of songs in the catalog or in my library. Seems deliberate. Hindi songs depend significantly on the quality of lyrics but the algorithm doesn't account for that.",3
"Don't install. I had been listening to music on Spotify for 2 years before this but now I am about to uninstall it. I am also a person who suggested Spotify to many. I loved Spotify before. And now I've been started to get irritated by this app. Adds are fine, but not able to repeat same song and not able to move song backward and forward is to very very bad experience for those who love music, and nothing less than a emotional pain for those who listen songs on Spotify for almost entire a day.",1
"Longtime premium subscriber. This app has gotten so buggy. Podcasts won't play, won't track progress, or will freeze randomly. Car mode is annoying. Songs glitch and mislabel on my Playlists so the song playing is not the song I selected to play. What the heck happened? App used to run smoothly. I'm seriously considering switching to another music streaming service.",1
"What happened, Spotify? The app is not working properly anymore. My playlist tracks are now randomly rearranged without me moving them. When I tried to move tracks in the order, I like it automatically moves tracks to the top of the playlist I don't want there. I can't edit my playlist and rearrange my tracks like I used to. Fix the bugs in the app, or I am going to cancel my subscription and go to move another music app.",1
"The Android app has gone steadily downhill since 2019. They've shown time and time again where all of their efforts have gone. Apple, podcasts, and ebooks. It constantly freezes, won't connect to Alexa, and takes long to open. They've removed feature after feature and replaced it with nothing. Where did playlists based off playlists go? Where did daily playlists go? Where did good song recommendations go?",2
"I don't know what happened, but it rearranged the songs in my playlist. Every time I try to correct the order, it takes the first couple songs and places them in the center of the list. When I put those songs back at the top, it takes a random song and places it above the ones I moved. And when I move that song, it takes the next couple song below it and putsthem elsewhere in the list. I know this seems silly, but it infuriates me. I'd like these songs in specific order, but it won't let me.",2
"Been having an ok time since i bought premium. No more incessant ads is nice. that was, until my playlists started going WRONG. i cannot sort. i cannot edit. making a new list with the same albums still magically teleports songs all the way to the top, swapping them with whatever is SUPPOSED to be there. deleting the errant song only brings in the next song from the errant song's album, not whatever is next in the list.",1
"Idk what's going on but there's a weird bug with the app. For some reason, all of my personal playlists that exceed 10 hours have songs at the top of the tracklist that I haven't moved. And whenever I rearrange the songs to go back in its order, another song pops up at the top of the list. I've never had a problem with the app until now. Please fix!",2
"Could be a great app. I love how the UI looks and the video and lyrics system is just very refreshing and beautiful coming from other similar apps. Also they have a great selection of music. But it's impossible to stream to a Yamaha MusicCast device. I've tried several devices, the connection starts, the song switches to playing, but no sound. There's been a thread for ages on the Spotify board. I will switch back to my previous music service app if this can't be fixed, sadly. Please fix it!",3
"DON'T BUY PREMIUM. This app is an absolute nightmare to use if you don't have a constant internet connection. You can't stream your downloaded music cause it refuses to work unless you turn on your data or wifi. Would give 0 stars if i could. UPDATE: ALMOST HALF A YEAR LATER AND IT'S STILL NOT FIXED Update 2: if you connect via bluetooth to anything, spotify doesn't recommend songs, it just plays the same playlist over and over every time. A quick google search proves this. Premium is useless",1
"I used to like the app but since recently the app is insanely slow. It takes forever to load your playlists, usually more than 10 seconds. Also, if I don't have an internet connection, some my playlists don't load at all! So basically I cannot play any music offline. EDIT: I reinstalled it and it still doesn't work. I don't want Spotify to use mobile data so I deactivated that in the Samsung settings but without internet connection Spotify doesn't load any of the offline music....",1
"1 star reasons: If I stop listening song at some part and start listening again then I can't restart the song from beginning I have to listen from the part I left it. I can't listen songs in order I want, smart shuffle is very bad. Limit has been set for skips. If I skip a song then instead of playing the song that is next in the playlist, it plays a random song from the playlist. I didn't have much problem with no. of ads before but now because of above points I would like to say too many ads.",1
"I LOVE Spotify, but there's certain features that bother me to no end. First, the shuffle feature. Doesn't exist. Spotify's shuffle chooses from your most listened to songs. Second, the ""videos"" that play with each artist should have an option to be turned off in settings. I'm in driving mode 24/7 just to avoid this. Other than that, I can live with everything else. I LOVE Spotify, don't get me wrong, but these features drive me absolutely nuts. Please fix them when you can.",3
"This app over all is amazing! However one small problem. Everything 3-4 songs in I get the same ads over and over again and I understand that premium is a thing but I think it's overpriced, and another thing it keeps playing the same songs over and over again and it wont play the songs I would like to listen to. The app is basically unusable if you don't have premium. And it sucks because everything and I mean EVERYTHING is limited. EX: the skips, if you don't have service! Fix this!",2
"Not bad at all. I use it a lot. I have some issues with it, but who doesn't with any app? 100% recommend over Pandora or iHeartRadio Edit: dropped it down to 3 stars because of two problems. One, podcasts don't pause. They made a recent update, I'm assuming, that causes the podcasts to play even though I hit the pause button. The only way to stop it is play music and pause, or close the app. Two, the AI DJ loops songs I've already heard or plays music that's different than what I listen to.",3
"This app used to be really good but now it has just been focused on how to make people buy the premium version... You don't allow me to rewind or play on loop, I can't skip more than 6 songs in a hour... you are just denying basic services... I'd rather listen to music on YouTube Music it's just better than you it just doesn't allow me to play music in the background well that works for me atleast I can play what I want to listen to.... I don't recommend this app at all... I am deleting it.",1
