content,score
"Spotify sekarang udah bukan Spotify yang dulu... Buat {User Gratisan} (1.) Makin kesini makin banyak iklan, 1 lagu aja bisa 2 - 3 iklan [udah gitu horror terus lagi iklannya] (2.) Gak bisa putar lagu sepuasnya, kaya kelimit / terbatas gitu, masa iya harus nunggu esok hari buat bisa putar lagu lagi 😑 kesannya terlalu memaksakan premium (3.) Gak semua lagu liriknya ADA (4.) Sering ilang notif saat putar lagu (dibagian atas) [BUG] (5.) Putar lagu Playlist, pengen putar lagu A ini malah Lagu B 😒",1
"Awal² gunainnya bagus, walaupun masih ada iklan tapi dikitlah ya. Terus pas update, jd banyak iklannya bjir. Setiap mau ganti lagu, ada aja iklan dan ganggu gitu. gk kek dulu, walaupun masih ada iklan, tapi bagi gw yg gratisan, iklannya g sampe ganggu gw lh y dulu.",3
"tolonglah pihak Spotify kurangin Iklannya, dan yang paling mengganggu itu kadang ada lagu yang liriknya bertuliskan ""tidak dapat memuat lirik lagu ini"" tolong diperbaiki, Spotify bukan aplikasi yang kecil atau kurang populer, tetapi hampir seluruh dunia dan seluruh warga dunia mendengarkan lagu dari Spotify, jadi tolong tingkatkan lagi menjadi lebih baik",2
"tolong jangan terlalu posesif. ini kenapa jadi terlalu memaksakan untuk bayar (premium)? setiap satu lagu 2-3 iklan, ganti lagu, iklan. skipnya/ pilih lagu gabisa lebih dari 6 kali sehari. ketuk lagu A, yang keputer lagu B. mutar playlist, namun yang keputar malah lagu selain yang ada di playlist itu. sering keluar² sendiri, sering berhenti sendiri. kan biasanya di hp deket layar notifikasi ada ambangan lagu spotify, nah itu sering bgt ilang. kualitas audio kurang. terakhir, liriknya mana??! :')",1
"Tolong, ini sebelum update apk nya baik baik aja tapi pas udah update muter lagunya gak sampe full langsung mati, liriknya gaada padahal sebelumnya ada. Jaringan internet juga bagus dan lancar. Edit [22/01/2024] : setiap mau putar lagu yang ada di favorit, bakal ada penawaran premium, kalo ngga premium ngga bisa diputar. Heran.",1
"Ini gimana siii. Aku mau bayar paket premium kok dipersulit gini. Tidak dapat menghubung terus, udah dicoba berkali2. Tak kira wifinya yg bermasalah, udah tak ganti ke data juga. Ternyata emng aplikasinya yg ga bisa. Ini mohon dong segera diperbaiki, mau bayar kok ya susah bener.",1
"Saya pengguna premium, spotifi masih saya nilai gagal dalam menghadirkan playlist sesuai dengan personalisasi usernya, masih banyak miss dalam daftar antrian auto yang dibuatkan dan masih ada ""pengiklan"" dalam bentuk lagu, beda genre beda vibe masih sering lagu random muncul dalam playlist😂..",2
"kenapa akhir akhir ini musik yang ingin saya putar dengan judul yang benar dan ketika di pencet lagunya malah yang diputar malah lagu lain yang saya ga ingin dengar lagu itu, ini udah di update malah gini, udah nyoba ganti akun untuk yang ke 3 kalinya tetep aja gini, heran kemarin sebelum di update ga gini, tolong perbaiki lagi masa buat denger lagu yang di pengenin aja susah amat",2
"Mohon maaf Spotify, saya suka pakai aplikasi ini namun karena saya tipe suka dengerin musik aplikasi ini sangat membantu, akan tetapi yang sering mengganggu saya adalah iklan2 horornya, saya tidak bermasalah dgn iklan hanya saja saya tipe belajar malam dan penakut jadi iklan2 yg semuanya tentang podcast horor membuat saya takut karena iklannya tidak bisa di hentikan terpaksa harus di dengar. Thats so scary",3
"Buat yg gak punya langganan premium. Ini aplikasi terburuk. Iklan banyak bisa dimaklum. Tapi pemutaran no, cari lagu korea, yg diputer yg versi jepang terus, cari lagu indo, yg diputer dengan instrumen aneh atau malah cuma instrumennya aja. Segitunya kita harus bayar buat dengerin lagu favorite 💩",1
"miskin banget kah sampe maksa premium? sering banget muter lagu yang gaada di playlist saya. di hapus bingung mau dengar lagu di mana, ga di hapus nyebelin. mohon perbaiki setidaknya jangan memaksa premium dengan iklan"" yang horror & iklan yang terlalu sering. tidak semua orang bisa mampu untuk membayar aplikasi DEMI LAGU.",1
"Sumpah spotify itu good application, tapi akhir akhir ini banyak sekali kendala yang cukup menganggu dalam apk ini.. Seperti lirik yang tidak dapat dimuat/tersedia dalam beberapa lagu terutama lagu bertema luar + banyak sekali iklan.. Dan bug bug lain nya..so,sangat di saran kan untuk di perbaiki lagi but, terlepas dari itu very good and I quite enjoyed it.. Thx",4
"Kaya aplikasi untuk mendengarkan lagu biasa tapi banyak bug‐nya, contoh:: ""tidak dapat memuat lirik untuk lagu ini"", gabisa dengerin lagu padahal sinyal bagus.. Ya gitu dehh..😮‍💨🤧 Selebihnya apk‐nya lumayan *inti",3
"Gk tau knp akhir² ini klo mau masuk lama, kadang klo langsung kebuka tampilannya kyk lgi offline padahal jaringan bagus, kyk gk ada lagu yg ditampilin. Jadinya harus buka tutup terus app nya. Dan klo aku liat di riwayat masalah aplikasi, gak ada tuh terdaftar spotify. Jdi gk tau masalahnya apa. Trus juga liriknya sering gk ada. Padahal kita kan mau nyanyi sambil belajar ngomong inggris biar gk kaku. Ada beberapa sih lagu yang ada liriknya tapi yg kebanyakan lagu indo. Jadi tolong diperbaiki ya!!",4
"Update akhir² ini sangat mengganggu. Mulai terlalu banyak iklan, lirik tidak bisa di muat di semua lagu, jika terlalu lama pause lagu dan ingin memutar lagu lagi butuh waktu buat suaranya keluar, kalo semisalkan dengerin Spotify terus langsung nonton tiktok/video terlalu lama dan saat memutar lagu lagi malah menitan (durasi waktu di lagu) akan stuck dan ga akan berubah",3
"Kenapa ya setelah hapus data, aplikasinya jadi susah dibuka, loading terus? Terus ada satu saran, kalo yang langganan premium fasilitasnya tambahin, bukan cuma bisa dengerin offline aja. Saya langganan premium tapi kadang spotify nya gabisa digunakan di latar belakang, baru buka WhatsApp aja kadang tiba-tiba berhenti, coba tolong di perbaiki ya",3
"Emang fitur yang diberikan untuk pengguna gratisan dibatasi, dan aku terima2 aja karena emang pake gratis. Tapi ada satu yang bikin gw kesel, walau udah premium tetep sama aja gak berubah, yaitu kenapa spotify skrg gak bisa dipakai di latar belakang? Padahal keunggulan spotify yg bikin aku pake terus ya itu, tapi sekarang tiap keluar aplikasi atau matiin hp, lagu yg diputar selalu berhenti. Kalo ingin denger lagu harus ada di aplikasi dan layarnya harus hidup. Semoga diperbaiki",1
"Udah 7 tahun pake aplikasi musik berbayar ini tapi dari dulu dari segi kualitas musik masih kalah sama youtube music dan apple music. Nungguin tiap tahun siapa tau ada perbaikan kualitas buat audiophile seperti saya tapi tetep saja kualitas audio spotify cenderung biasa saja, kurang nendang. Terpaksa harus mengakhiri pakai aplikasi ini. Kelebihannya cuma di ekosistem dan playlist. Tapi keutamaan kualitas audio harus nomer satu.",2
"mohon diperbaiki bug untuk lirik' yang tidak bisa dimuat, dan juga kuragin iklan itu cukup menganggu saat pemutaran lagu apalagi iklan tidak bisa di skip jika tidak pengguna premium dan juga saat menganti lagu yang saya inginkan malah jadi lagu lain yang keputar, mohon bug ini segera diperbaiki",3
"Tolong untuk versi standar diperbaiki untuk berjalan di latar belakang agar tidak mati ketika recent aplikasi di matikan seperti versi lite. Dan Playlist dari file lokal tolong diperbaiki, saya masih menyimpan koleksi musik jaman CD masih berjaya yang tidak semuanya tersedia di spotify",4
"Apa apa harus PERMIUM!!, Masa kalo pengen muterin lagu sesuai keinginan harus premium sih?!! Setiap pengen pilih lagu selalu ada tulisan ""Dapatkan Premium untuk memutar lagu apa saja, kapan saja"", Kalo iklan si Saya ga masalah, tapi kenapa kalo mau muterin lagu harus PERMIUM!?!!! Kan jadi kesel karena ga bisa muterin lagu sesuka hati/sesuai keinginan. Lirik lagu juga ada yang gak bisa di muat. Semoga bisa cepat cepat di perbaiki.",1
"Aku suka app musik by Spotify! :D . selain pilihan lagunya yang lengkap, kualitas audio bagus, appnya juga cukup user friendly utk auto-save lagu yg kita sukai, dll. Worth it, ga bklan nyesal utk berlangganan Spotify premium terus :)",5
"Kenapa pas aku update malah tambah nge bug? Setiap kali mau dengerin lagu perlu nonton iklan, pas pertama nggak diupdate bagus-bagus aja. Sekarang perlu ngeluarin data terus, juga maksa buat ke fitur premium, downlod lagu harus premium, berkali-kali keluar sendiri. Tolong dong dibagusin, aku tetap suka aplikasi ini, cuman jangan maksa untuk masuk fitur premium lah... ini untuk dengerin lagu, bukan dengerin iklan.",3
"Aplikasinya sangat bagus tapi hanya untuk pengguna premium saja. Untuk pengguna free harap dipertimbangkan, karena akses sangat dibatasi. Untuk memutar musik baru saja sekarang sudah tidak bisa. Next skip lagu juga dibatasi 6x per hari. Disini bukan maksud bermental gratisan. Tapi jelas spotify sudah mulai tidak ramah untuk semua user.",2
"Saya mendownload Spotify karena langsung tertera lirik lagunya di setiap lagu, tapi kenapa sekarang banyak lagu yang sebelumnya saya putar terdapat lirik lagu menjadi tidak dapat memuat lirik lagu walaupun saya sudah memperbaharui aplikasi yang terbaru sekalipun? Mohon pihak Spotify diperbaiki lagi untuk kenyamanan semua pengguna. Terimakasih.",3
"Tolong perbaiki app untuk Redmi Note 11 Ram 4GB. Soalnya aplikasi bisa memutar lagu yang tersedia di beranda. Sedangkan di kolom pencarian musik selalu muncul notif tidak ada jaringan tetapi lagu tetap berlanjut. Hanya saja notif ""tidak ada koneksi internet"" selalu muncul.",4
"semua sudah buat spotify inii, tapi sayang buat pengguna yang non premium (blm tentu semua bisa beli premium), itu iklan nya sedikit melunjak, 30 detik x 3-4 iklan per lagu (saya merasakan sendiri ketika play 1 lagu, setelah itu baru iklan tidak ngotak untuk 1 lagu). itu aja sii, terimakasih.",4
"Menurut saya setiap ada pembaharuan, Spotify hanya memperbaiki komponen akun, dan untuk fitur Konsumen jadi menurun, contoh, sinkron lirik dengan waktu yg berjalan dulu sudah banyak lagu yg tersingkron, tetapi setelah update malah jadi tidak singkron.",3
"aplikasi untuk mendengar lagu terbaik menurut saya saat ini cuman yang disayangkan adalah iklan horor yang terus ditampilkan membuat saya tidak nyaman. harapannya agar spotify bisa lebih mengurangi menampilkan iklan horor dan mengiklankan yg lainnya saja, sekian.",4
"Bagus, iya bagus. Tapi masalahnya bug pada lirik yang gak bisa muncul. Sama untuk pengguna free terlalu banyak iklan, masa 1 lagu ada lebih dari 2 iklan dan durasi iklannya 30 detik. Ngotak dikit lah bang.",1
"Sekarang kek nge bug gitu aplikasinya kadang lagunya berhenti sendiri trus kalau mau nge play malah kembali ke awal lagu, kebanyakan iklan podcast horornya jadi buat nggak nyaman, trus sekarang lirik nya kenapa ya banyak yang nggak ada atau nggak bisa di tampilkan? Mohon segera di perbaiki ya pihak Spotify terimakasihhhh",1
"Buruk. Satu lagu, lalu iklan, lalu 1 lagu lagi, begitu seterus nya. Mending download aja lagu nya. Kebetulan pakai Wifi. juga sekarang 1 lagu engga bisa di putar lebih dari 3kali, jadi musti pindah apk musik lain. saran saya jangan jadi kan spotify sebagai apk musik utama, atau sekalian aja pindah apk🤪",1
"Beberapa lagu tidak menampilkan lirik. Padahal sebelumnya ada lirik nya, tetapi tiba tiba tidak bisa memuat lirik. Selain itu sudah stel playlist yang ingin didengarkan tetapi masih terdapat lagu diluar playlist yang diputar. Bikin kurang nyaman",3
"Apa Apaan ini bisa bisanya saya dapat iklan 3kali beruntun hanya untuk mengganti musik parah banget emang pemaksaan untuk buat beli paket premium ini memang benar kalo isi musik² disini unik dan bermacam-macam jenis yang enak untuk di dengarkan,masalah nya hanya 1 kenapa iklan nya begitu banyak sampai 3kali loh biasanya cuman 1~2kali iklan. Ini sungguh perundungan secara tidak langsung karena yang sakit bukan fisik saya tapi mental saya!!☝️😔",2
"Sudah lama saya memakai Aplikasi Spotify tanpa berbayar, tidak mengalami perubahan dan tetap enjoy. Tapi baru baru ini saya kesal karena tiap music yang ingin saya putar harus ada Iklan, dan setelah iklan musiknya tidak mulai melainkan stuck / ganti iklan lain.",4
"Aplikasinya bagus bgt cuma ada beberapa bug, saya mau dengerin lagu di spotify tapi gabisa, ada notif kalau lagi offline padahal saya lagi pakai wifi dan itu ga nge lag, buka apk lain bisa (tiktok,yt,dll) tpi buka Spotify selalu offline.",3
"Ini spotify nya emang bagus banget, cuman yahhh ada bugg yg ngeselinnn bgttt. 1. Tiap mau kontak lagu yg lainnya, tiba² gada suara yg keluar tapi lagunya masih berjalan 2. Kbnykn iklan, jadinya ga nyaman dengerinnya. Udh sih itu aja, tolong di perbaiki lagi.",3
"saya suka aplikasi spotify, namun akhir akhir ini saya kurang suka mulai dari lirik di beberapa lagu tidak tersedia dan iklannya, sebenernya saya ga masalah sama iklan karena saya bukan pengguna prem, tapi tolonglah jangan iklan podcast horror apalagi pas malem malem :( (edit) sekarang kenapa klo puter lagu nunggu dulu lama trus juga di tengah lagu suara suka ilang??",4
"Pas buka Spotify nya ada tulisan ""Spotify sedang mengatur anda ke offline"" padahal online udah pake wifi tetep gak bisa TOLONG BENARKAN SPOTIFY INI dan juga pas putar lagu aga ngelag dan kalo misalnya saya offline pas untuk Anda itu kosong gak ada yang kebuka TOLONG DIPERBAIKI YA",2
"Maaf, tolong ya kalau saya dengerin lagu dan pengen lihat liriknya, pasti ga ada lirik nya, bagaimana saya mau menghafalkan lagunya kalau begini?, dan juga setiap dengerin 1 lagu pastinya iklannya 1/2 , itu pun iklan nya tentang ""TAREK TAREK"" apalah, minimal ganti lah iklannya jangan itu"" Mulu etdah lu, saya mau ngedengerin lagu malah iklan dulu ""TAREK TAREK"",gimana mau keluar air mata gw kalo denger iklan kek gitu 😁",3
"aku gatau kenapa setiap dengerin diluar aplikasi, pasti ditengah-tengah bakalan berhenti. aku udah pake premium, jadi kayak hal yang kayak begini bikin risih pake banget. udah download ulang berkali-kali tetap berhenti mulu lagunya. mohon bantuannya pihak Spotify.",3
"Kenapa ya,setiap denger lagu agak 2atau3 kali ada iklan,iklan nya gak satu tapi tiga.Ini mohon maaf ini apk buat dengar lagu atau dengar iklan ya,kalau mau gak ada iklan iklan harus yang premium dulu.Saya harap iklan nya lebih jarang lagi,kalau bisa di hilangkan saja",1
"Saya mencoba memberikan masukan untuk ads yang gak relevan ke saya, namun Spotify malah memunculkan nya berkali-kali, jika biasanya hanya 2-4 ads, namun ketika saya memberikan masukan malah sangat banyak muncul ads yang gak saya suka berkali-kali hingga saya kehilangan minat mendengarkan lagu yang ingin saya putar, ini bukan masalah tentang apakah lebih baik premium namun kita tau kita berhak untuk memilih, meski bukan premium namun saya harap Spotify tetap dapat memberikan pelayanan yang baik.",1
Kenapa aku tidak bisa memutar lagu dengan data seluler sementara jaringanku stabil dan aku juga bisa membuka aplikasi lain dengan data seluler? Ini menjengkelkan. Sudah dari bulan Oktober masalah ini masih tetap ada. Mohon untuk diperbaiki secepatnya. Oh ayolah. Ini sudah 2024 dan masih sama saja?!!!! YANG BENAR SAJA!!!!,1
Spotify nya punya bug di bagian download saya udah beli paket premium eh malah gak bisa download lagu dan gak bisa di putar secara offline jadi mohon secepatnya bisa diperbaiki agar saya mengubah rating nya jika sudah di perbaiki jadi mohon secepatnya agar saya tidak rugi beli paket premium nya oke.,1
"ijin uninstall... meski saya bukan pengguna premium, spotify sudah tidak memikirkan kenyamanan pengguna... selain iklan lagu dan podcast sering muncul. alasan saya terbesar saya pada iklan konten horor.. tidak semua orang suka genre horor karena alasan pribadi atau pun lingkungan (angker)... user bukan orang kota semua...",1
"Spotify untuk sekarang dari berbagai aspek sangat bagus, kualitas audio sangat bagus. Tapi ada berbagai kekurangan salah satu kekurangannya terkadang ada bug yang sangat menggangu, salah satunya lyrics tidak tersedia terus-menerus. untuk tampilan saya lebih suka ""lagu yang di sukai bentuk love"" dari pada yang sekarang, untuk segini saja. Thank You!",4
"Dulu awal trial gak ada iklan, kualitas audionya bagus, tapi stlh habis masa trial nya jadi banyak iklan, banyak pembatasan, dan kualitas audio nya menurun drastis anyingg, terpaksa pakai tambahan equalizer. (Walaupun berbayarnya murah sih)",4
"Aku suka banget dengerin lagu di Spotify dan akhir² ini lebih banyak bedanya mulai dari iklan, teruss kalo di putar di playlist itu kadang tidak berurutan dan juga berlangganan Spotify premium lagii tapi bagaimana pun tetap bagus lah SPOTIFY good luck untuk bulan dan tahun selanjutnya, very good and very well",5
"Iklan horror nya sangat menggangu, apalagi dengerin lagu nya pas malam-malam. Tolong banget iklan nya di kurangin, 1 music 1 iklan, iklan horror juga lagi. Kalo kaya gini trs bikin orang takut dengerin music di Spotify.",1
"sering banget dapet iklan yang ga berguna kek iklan pocongnya, iklannya sangat menggangu setiap muter lagu. ini harus dengerin iklan dlu ga kaya dlu, dlu tinggal pilih lagu apa sdh selesai sekarang harus nonton iklan sama beli spotify premium? buang buang uang aj, dlu saya bisa ulangin lagunya berkali kali lah sekarang ? sekarang sdh ga bisa. ngapain di update kalo malah nyusahin orang? ( maaf kalo ngomongnya kejauhan )",2
"Tolong ya, untuk developer mohon untuk tidak mengeluarkan fitur premium. Saya hanya ingin mendengarkan lagu dengan tenang, jika tidak menggunakan fitur premium akan banyak iklan yang mengganggu kenyamanan saya dalam mendengarkan lagu. Saya mendengarkan lagu untuk belajar, jadi kalau lagunya banyak iklan saya kurang konsentrasi. Karena jika ingin mendengarkan lagu harus memakai fitur premium bagi saya berat karena saya tergolong orang kurang mampu. Tolong ini dihapus fitur premiumnya",1
"Kenapa harus premium cuma buat shuffle doang, jadi ga enak denger nya padahal nyetel nya lagu yang di sukai tapi pas udah selesai 1 lagu tiba tiba ke lagu yang ga ada di favorit jadi nya ga enak masa harus ganti ganti terus, udah banyak iklan lagi sekarang 😮‍💨",1
"Udah pake selama 2 tahun bagus kok dan ga ada kendala sama sekali, tapi Akir akhir ini ntah kenapa pas lagi dengerin lagu selalu mati sendiri di pertengahan lagu, saya kira karna belum di update tapi ternyata setelah di update tetep sama dan kejadiannya ga cuma sekali dua kali, hampir setiap lagu pasti mati sendiri, kan cape bolah balik nyalain lagu yang sama malah mati lagi. Dimohon untuk kedepannya mungkin bisa lebih di perbaiki lagi biar lebih nyaman pakenya, terimakasih..",4
"sebenernya banyak iklan nggak masalah, tapi bikin emosi banget karena iklannya horor. pdhl bisa iklan lain kaya produk makanan/minuman tapi knp iklan horor terus yg muncul??? yg tadinya enjoy dengerin musik malah keganggu banget sama iklannya.",1
"Ga nyaman banget pake spotify, lirik kadang error, terus suka force close kalau lagi enak dengerin lagu. Terus iklannya sering banget muncul mana harga premium nya mahal banget",1
"aku suka sama aplikasi ini semua lagu yang aku cari dari tiktok juga ada walau gak semuanya,aku sering mutar Spotify,walau g premium tapi its ok gpp,tapi ada minus nya aku gak terlalu suka sama iklannya apalagi yang serem/horror kalau soal iklan yang lain aku gpp lah karena ga premium juga ,tapi kalau iklan horor aku krg suka, soalnya setiap dengan Spotify pas tengah malam merasa kek seram dan takut apalagi aku tinggal sendirian,,,,ok terimakasih byee saya kasih bintang 5 heheh",5
"Akhir² ini malah sering banyak bug nya. Dulu kalau saya komplain lewat email pasti direspon. Tapi sekarang tidak. Optimalisasi jaringan juga jelek banget. Padahal kalau buka yang lain bisa, tapi giliran spotify malah 'tidak ada internet' katanya. Tolonglah, untuk masalah jaringan dioptimalisasi lagi.",2
"Ini menurut saya apk musik yang sangat jelek & buruk. Saya berniat dengar musik lewat playlist dari artis yang saya sukai... Tapi kenapa selalu tercampur dengan artis lain yang lagunya tidak bisa saya nikmati, jujur saya tidak terlalu terganggu dengan iklan tapi saya sangat SANGAT TERGANGGU jika di playlist yang saya buat tercampur dengan lagu yang tidak saya minati.",1
"Setiap pengen putar lagu, eh malah ke putar lagu lain dan itu bikin kesal. Kalau pemutaran acak masih mending tapi kalau dah gini, musik yang bikin rileks malah bikin stres!!",1
"Untuk spotify coba dong lah bisa gitu di filter iklan yang muncul tuh jan horor mulu ,klo bisa atur gitu iklan yang harus di dengerin yang ga ada horor nya, jadi lagi enak dengerin vibe lagu yang happy eh malah mucul iklan yang horor kan jadi ancur vibenya",3
"bisa request sistem baru?? tolong tambahin fiture yang bisa mindahin lagu biar bisa sama gitu letaknya satu album atas bawahan misal kita ada suka lagu baru dari album yang sama tapi udah ketimbun sama lagu lain trs kita bisa mindahin biar atas bawahan lagu yang sama gitu tapi itu disatu playlist, playlist nya kita",4
"Ngeselin banget semenjak update udah gak bisa lagi muter lagu sampe full, muter lagu baru beberapa detik tiba tiba mati padahal wifi kenceng, gak banget deh.",1
"apknya cukup bagus tapi kadang kadang ada iklan muncull jadi aku terganggu,juga kadang kadang musiknya berhenti padahal sinyal bagus terus ga tek hentiin tapi tiba-tiba henti sendiri gatau kenapa tolong perbaiki lagi ya,,,semuanya si dah bagus lagunya juga yang lagi virall semua entah dari lagu jawa ke indo banyak kualitas lagunya, lebih bagus lagi kalo bisa offline",3
"Suka mendengarkan music"" favorit, tapi pas buka aplikasi beberapa detik stuck gak bisa gerak meskipun music masih tetap berjalan setelah itu normal lagi gitu terus""an, dan satu lagi aplikasi sering keluar peringatan paksa untuk keluar, Edit ulasan : kok masih sama aja ya...",1
"apk jelek sudah beli premium tidak bisa terpakai untuk premium, contohnya seperti tidak bisa downlod lagu dan masih ada iklannya, jangan beli premium rugi tidak bisa di manfaatkan juga dan tidak bisa mendapatkan fasilitas premiumnya",1
"iklan terlalu banyak, mau denger lagu masa harus muter 4 iklan?(gabisa diskip, rata-rata iklan juga 30 d,)crossfadenya juga sering ngebug, mau muter playlist secara urut aja harus premium biar gak shuffle, di beberapa lagu gak bisa lihat lirik pdhl dulu bisa, dulu ada mv di beberapa lagu skrg sudah hilang :( kelebihannya suaranya jernih sih",4
"Aplikasi lagu yang terbaik👍🏻. Aku ngga nyesel menggunakan apk ini👏🏻💯. Cuma saran saya, tolong jangan terlalu banyak lagu yang tidak bisa diputar di spotify dong. Banyak lagu yang menarik dan bagus tetapi lagunya premium dan perlu beli voucher premium",4
"Bagus sih, cuma ya, tolongg banget, waktu buat dengerin lagunya dibanyakin terutama buat berberapa dari kita yang gratisan, bagus sih bagus, cuma gak segitunya kali, apalagi gw yang suka denger lagu sambil buka apk lain / belajar, pas mau request lagu ga bisa, padahal baru beberapa lagu, tolong banget di banyakin waktunya ya spotify 🙏",2
"Sebenarnya gk masalah ada iklan, cuma kebanyakan!!! Sekali pasang lagu abis itu putar iklan, iklan lagi, ikla terus. Belum lagi sekarang iklannya yg horror² mulu😭 bisa gk sih balik lagi ke masa² roti dan selai, bunga dan kumbang, romeo dan juliet🙂😭",3
"Sayang gak bisa lagi milih lagu yg mau diputar di playlist. Tapi pilihan musiknya seru, cukup lengkap, dan bisa kasih rekomendasi musik sesuai dengan musik di playlist.",4
"Suka banget pakai Spotify, karena sangat berguna untuk aku yang nggak bisa sehari aja nggak dengerin lagu atau musik. Cuman kadang suka kesel kalau pas lagi pencet lagu yang mau diputar, ada jeda waktu beberapa detik sebelum diputar. Mungkin bug atau lagging kali ya? Selain itu, baik fiturnya. Semoga yang bug/lagging itu bisa diperbaiki, thank you",5
Saya memutar sebuah lagu lalu mengapa musik yang keluar berbeda dengan yang diputar dan saya memutar sebuh lagu dari spotify untuk memasang alaram jam (lupa) kenapa tidak ada suara? Di jam itu Sehingga itu membuat saya terlambat bangun!,1
"Tidak ada yang mendorong minat saya untuk memberi bintang 5 walaupun saya berlangganan kedepannya. Karena iklan yang terlalu banyak untuk pengguna yang baru mencobanya, dan YA memang yang punya aplikasi ini SANGAT POSESIF seperti kata orang lain. Memang sangat ingin menguasai penggunanya secara berlebihan dengan mengharuskannya untuk berlangganan yang membuat aplikasi ini menjadi tidak sehat dan ramah pengguna kebanyakan.",3
"Untuk sekian lamanya mengunakan spotify, baru kali ini agax sdikit terganggangu dngan iklan nya yg sering muncul tiba"", jadi klw bisa tanpa iklan akan lebih sempurna dan bintang 5 pasti.",3
